0,1,sentiment,SBert_유사도
"여보, 나 지난번에 참가한 문예 공모전에서 또 떨어졌어. 이번이 마지막이다 생각하고 새로운 마음으로 정말 열심히 준비했거든. 그렇게 노력해서 쓴 글이 물거품이 되니까 신경 안 쓰려고 해도 마음에 상처가 되네.","그렇지 않아도 당신이 퇴근하고 매일 밤마다 글 쓰는 모습을 봤어. 당신의 오랜 꿈이니까 나는 그저 묵묵히 지켜보면서 응원했었거든. 이번엔 꼭 당선되기를 바랬는데, 당신의 노력을 알기 때문에 너무나도 안타까워.",상처,0.6096794605255127
어릴 때 작가로써의 꿈을 가지게 되면서 쉽지 않을 거라는 건 짐작했거든. 하지만 그래도 자신이 있었고 노력하면 될 거라고 생각했어. 난 내 스스로에 대해서는 의심이 없었는데 점점 자신감을 잃고 상처만 남아.,나도 당신을 만나기 전에는 오랫동안 그림을 그려왔었잖아. 어릴 적부터 주변에서 칭찬도 듣고 난 꿈을 이룰 수 있을 거라는 자신감이 있었어. 그런데 자꾸만 일이 안 풀리면서 내가 나를 못 믿게 되니까 정말 의욕이 사라지더라고.,상처,0.7328075170516968
당선된 사람들은 유명한 작가들이나 심사위원들이 직접 나서 서평도 써주잖아. 그런데 떨어진 사람들은 그런 피드백도 없기 때문에 정말 글이 버려지는 것만 같은 느낌이 들어. 나도 내 최선을 다한 노력의 결과물인데 늘 이런 취급을 받는 게 상처야.,하지만 당신이 못 된 글이라고 해도 그 중에 분명한 차이는 있을 거라고 생각해. 많은 글이 접수되고 전부 평가를 내려줄 순 없지만 당신 글은 그 중에서도 정말 뛰어났을 거야. 당신 글은 버려진 게 아니라 다음을 다시 기약하는 미 완성본인 것 뿐이야.,상처,0.6008553504943848
그냥 난 어느 순간부터 결과가 과정보다 더 중요하다고 생각하게 됐거든. 문예 공모전이라는 건 결국 수상자와 비수상자로 나뉘는 것 뿐이잖아. 내가 번번이 떨어진다는 건 그냥 소질이 없다는 증거인 것 같아.,"나도 책을 정말 좋아하고 많이 읽지만, 당신 글을 볼 때면 다른 세계라는 생각이 들었어. 당신의 원래 성격과 말투를 하나도 사용하지 않으면서 서로 다른 캐릭터를 풀어내는 능력이 대단하다고 생각했거든. 난 당신 같은 사람만이 진정한 작가가 될 수 있는 거라고 생각해.",상처,0.2574472427368164
하지만 난 결과에 매번 실망만 쌓여가고 이젠 희망이 거의 보이지 않아. 이젠 꿈이 아니라 나만의 고집이라는 생각 때문에 어떻게 해야 할지 모르겠어. 이젠 현실을 받아들여야 하는 때인가 싶어.,아주 유명한 작가들 중에서는 공모전에 서른 번 이상 떨어진 사람들도 있대. 자기 글에 대한 서평은 없지만 당선된 사람들의 글을 읽으며 차이점을 깨우쳤다고도 하더라. 언젠가 정말 부끄럽지 않고 완성도 높은 당신만의 글을 위한 준비기간이라고 생각하자.,상처,0.34634295105934143
"하긴, 정말 훌륭하고 대단한 작가들도 오랜 시간을 견디는데 내가 너무 초심을 잃은 것 같네. 처음 이 길이 쉽지 않을 거라고 생각했을 때 지금의 상황도 충분히 예상 했었거든. 그런데 점점 마음이 조급해지니까 결과를 받아들이지 못한 것 같아.",원래 무언가를 이룬다는 건 그 과정을 버텨내는 일이잖아. 사람이라면 아무런 감정 변화도 없이 이겨낸다는 게 거의 불가능해. 하지만 포기해버리면 그냥 없었던 일이 되지만 버텨내고 다듬으면 결국 더 가까이 다가서게 되잖아.,상처,0.4525666832923889
"맞아, 오랜 시간 내 자신을 위로하면서 달려온 이 시간을 결코 포기하고 싶지 않아. 끝내 내가 드디어 내 힘으로 이루어냈다는 성취감을 느끼고 싶어. 당신 말대로, 내가 더 많이 배우고 하나의 완벽한 작품을 위해 다듬는 시간으로 생각하고 싶어.",당신처럼 열정 가득한 사람은 무엇이든지 이룰 수 있어. 밤 늦도록 글쓰기에 매달리는 모습이 가끔 안쓰럽기도 하지만 난 당신을 응원해. 당신의 팬으로써 작가가 되는 그 날을 나도 함께 기다릴 거야.,상처,0.44727885723114014
여보 나 오늘 회식 시간에 너무 상처를 받았어. 그래서 체한 것만 같아.,무슨 일이 있었길래 속까지 불편한 거야. 많이 안 좋은 일이 생겼어?,상처,0.624079167842865
팀장님이 업무와 관련 없는 일로 팀원들 앞에서 창피를 주셨어. 사무실에 바퀴벌레가 나왔는데 그걸 보고 내가 너무 놀라서 심장이 멎을 것 같다고 했거든. 그랬더니 다 큰 성인이 벌레에 벌벌 떤다고 모두에게 알려서 상처가 됐어.,"벌레를 무서워할 수도 있는 건데 그걸로 사람들 앞에서 웃음거리를 만들다니, 너무 실례네. 당신 기분이 많이 상했을 것 같아.",상처,0.5199862122535706
잠시 지나가는 말로 감정화자씨는 벌레를 무서워한다고 하고 넘어간 것도 아니야. 회식 시간 내내 틈만 나면 내 이야기를 하면서 성인으로서 창피하지도 않냐고 하더라. 아직도 그 당시의 충격적인 상황이 머릿속에서 떠나가질 않아.,당신이 죄를 저지른 것도 아닌데 오랜 시간 당신을 비롯한 팀원들까지 눈치 보이게 했네. 상사가 있는 자리라 불쾌하다는 티도 못 내고 당신이 얼마나 상처를 받았겠어.,상처,0.4639705419540405
"당신 말대로 동료들이 내 이야기로 불편해하는 게 느껴져서 상처가 배가 됐어. 바퀴벌레를 일부러 무서워하는 것도 아닌데 괜히 내가 잘못을 한 것 같더라. 회식 자리가 트라우마가 될 정도였어, 팀원들을 이제 어떻게 봐야 하나 싶어.","바퀴벌레를 무서워한다고 해서 다른 사람들의 시선을 걱정할 필요는 없어, 팀장님이 심했지. 벌레 무서워하는 이야기를 회식자리에서 왜 하셨는지는 모르겠지만 당신이 상처받지 않았으면 해. 그리고 대다수의 사람은 당신을 그런 시선으로 바라보지 않으니 염려 마.",상처,0.4409058690071106
그 회식 자리를 기억 속에서 지워버리고 싶은데 잘 안돼. 당시에 너무 창피스러웠던 게 계속 상처로 남아.,상사의 무례한 태도로 상처받은 마음은 알지만 너무 휘둘리지는 마. 타인이 생각 없이 내뱉은 무례한 말에 진심으로 반응해 줄 이유가 없어. 당신의 약점을 웃음거리로 삼는 사람의 말에 휘둘리는 건 당신도 원하지 않을 거야.,상처,0.2682742476463318
당신 말이 맞아. 날 찰나의 안줏거리로 삼은 사람에게 상처받을 수는 없지.,게다가 이 일은 사람들의 기억 속에서 금방 사라질 거야. 그러니 이미 생긴 일에 너무 부정적인 영향받지 마.,상처,0.25823095440864563
당신이 무슨 말을 하는지 알 것 같아. 당신 덕분에 힘이 조금씩 나.,당신이 상처받은 그 마음에서 어서 빠져나왔으면 좋겠어. 당신은 금방 극복할 거야.,상처,0.5613736510276794
"알겠어, 회식 자리는 잊어보도록 해볼게. 당신 덕분에 힘이 나네.",전 직장 동료에게서 마음 상하는 소리를 들었나 보네. 밝은 당신의 마음까지 다치게 할 정도의 말이 뭐였을지 궁금해.,상처,0.4650764465332031
"여보, 오늘 전 직장 동료에게서 안부 연락이 왔거든. 그런데 내 근황을 듣고 그 동료가 한 말이 상처로 남았어. 그 말이 맴돌아서 집안에 고립된 사람이 된 것 같고 상처가 됐어.",전 동료의 반응에 당신이 너무나 속상했겠다. 내가 당신이었어도 부정당하는 기분이 들어서 상처받았을 거야. 하지만 사람마다 가치관이나 삶의 이상향이 다르니까 마음에 담아두지 마.,상처,0.4678027033805847
요즘 나는 일 안 하고 육아와 살림을 하고 있다고 했거든. 그랬더니 그 전 동료가 커리어가 아깝지 않냐고 나무라듯이 말해서 상처받았어. 행복한 내 삶을 누가 나무라는 게 이렇게 상처가 될 줄 몰랐어.,생각이 다른 동료의 말이 따갑기는 하지만 속상해하지 않아도 괜찮아. 당신은 커리어를 위한 일을 하고 있지는 않지만 가족을 위해 누구보다 바삐 움직이잖아. 게다가 육아를 하면서 아이와 함께 더 넓은 세상으로 나아가고 있으니까 고립된 사람이 아니야.,상처,0.6653438806533813
그 말을 듣고 나니까 내가 이 집에 고립된 사람 같은 거야. 나는 매일이 행복하고 즐거운데 그 마음이 깨지는 것 같이 상처가 됐어. 나는 전 동료의 연락을 반갑게 받았는데 상처만 받은 채로 끝난 것도 상처가 됐어.,그런 이야기를 들으면 생채기가 남을 수밖에 없을 거라서 공감해. 하지만 그 전 동료도 당신의 화려하고 탄탄한 커리어가 중단된 게 아쉬워서 한 말일 거야. 그런 마음이 다소 격하게 나와서 당신이 듣기에 서운하고 아팠던 것일 테니까 기운 내.,상처,0.563263475894928
나도 그렇게 생각했지만 그간 쌓아 온 커리어를 그만둔 걸 나무라니까 충격과 상처를 받았어. 내 선택에 후회와 아쉬움이 없음에도 나무라는 소리에는 상처를 받지 않을 수가 없더라.,당신은 커리어에 집중할 때보다 더 근사하고 훌륭한 사람이 되었어. 당신뿐만 아니라 아이와 나를 발전시키고 있는 장본인이잖아. 누가 뭐라고 하든 당신은 당신의 삶에 자신감을 가져도 되니까 이제 상처받지 마.,상처,0.49620527029037476
아쉬워서 한 말이라면 좋겠지만 육아와 살림으로 행복해 하는 나를 단순한 삶에 안주한다는 식이었어. 그래서 내 입장에서는 나를 나무라는 것 같아서 상처받은 거야. 나 자체는 행복해도 남들이 보기엔 그렇지 않은 건가 싶어서 혼란스럽고 상처받았어.,당신처럼 당신의 삶을 즐기면서 열심인 사람도 없을 거야. 전 동료는 사회에서 만난 사람이라서 그때의 당신만 기억하겠지만 커리어가 당신의 전부는 아니잖아. 지금의 생활도 누구보다 열심이니까 자신을 의심하거나 작다고 생각하지 않았으면 좋겠어.,상처,0.49916136264801025
내가 우리 가족을 발전시키고 있다는 말이 정말 위로가 돼. 커리어를 쌓는 일도 멋있지만 가정을 살뜰히 챙기는 것도 못지않게 훌륭한 일 같아. 전 동료가 나무랐어도 난 자신감을 가지고 내 길을 꾸준히 나아가자고 다짐해 보니까 상처가 가셔.,행복하게 잘 지내고 있는데 커리어가 아쉽지 않냐는 말을 들으면 달갑지만은 않은 게 당연해. 게다가 나무라는 투로 말하면 더 따가울 수밖에 없지. 그래도 당신이 지금의 삶이 행복하다는 마음은 흔들리지 않아서 다행이야.,상처,0.67133629322052
이미 상처는 가라앉았지만 당신이 그렇게 말해주니까 아주 말끔해졌어. 전 직장 동료의 안부 연락도 내 근황에 대한 반응도 예상 밖이라 너무 상처받았나 봐.,다시 밝은 당신의 모습으로 돌아와서 안심이 된다. 상처받은 당신의 이야기를 듣는 게 마음 아팠거든. 앞으로 당신이 더 행복한 가정생활을 할 수 있도록 해줄게.,상처,0.5188889503479004
지금의 삶이 너무나 행복해서 흔들리거나 의심이 되지 않아. 어쩌면 그래서 전 동료의 반응이 더 상처로 다가왔는지도 모르겠어. 어쨌거나 아까는 속상해서 상처받았지만 그런 일이 없었던 것처럼 이제 괜찮아!,한 달 동안 당신이 어느 직원보다 열심히 일했는데 그렇게 돼서 나도 너무 속상하다. 생활비는 내가 어떻게 해볼 테니 조금도 신경 쓰지 마. 그래도 경기가 풀린다고 하니 조금만 참고 견디면 곧 괜찮아질 거야.,상처,0.5662133097648621
"여보, 이번 달 매출이 저조해서 직원들 월급 주기도 빠듯하다. 아무래도 이번 달 생활비는 못 줄 거 같아서 미안해. 결국 나는 손에 아무것도 남는 게 없어서 상처가 정말 크다.",당신은 이제까지 자신이 덜 먹더라도 직원들을 챙긴 사람이잖아. 요즘 시대에 정말 흔치 않은 고용주라 훌륭하다고 칭찬해주고 싶어. 직원들과 똘똘 뭉쳐서 노력하면 매출이 다시 오를 테니 너무 걱정하지 마.,상처,0.4192861020565033
"경기가 풀린다는 말도 믿을 수 없는 게, 한쪽에서는 더 큰 위기가 온다고 떠들고 있어. 장사도 안 되는데 직원들을 계속 데리고 있어야 하는지 고민이다. 그런데 같이 오래 일한 사람들이라 해고하면 나도 마음의 상처를 입을 것 같아.",직원을 가족으로 생각하는 당신이 그런 생각을 할 수밖에 없는 상황이 나에게도 상처가 된다. 만약 그런 상황이 와도 당신을 원망할 사람은 없을 테니 걱정하지 마. 직원들도 어쩔 수 없다는 걸 이해할 거라 믿고 마음을 편히 가져.,상처,0.623283863067627
전망을 보아하니 그게 쉽지 않을 것 같아서 걱정이야. 매출 그래프를 보면 지속적으로 떨어지고 있는 게 보여. 계속 이러면 내가 결심을 할 수밖에 없는데 그러면 마음의 상처는 어떻게 해야 할지 모르겠어.,당신을 보면 사람이 너무 좋아도 세상 살기 참 힘들구나 하는 생각이 들어. 일단 우리 매장에서 나가면 당신 책임에서 벗어나는 거야. 그 뒤까지 걱정하면 당신이 너무 힘들 것 같으니 그건 생각지 않았으면 좋겠어.,상처,0.46876177191734314
만약 직원을 줄인다면 어느 직원을 내보내야 할지도 모르겠어. 작업 능력을 보는 게 당연한데 그러면 또 형편이 어려운 직원이 마음에 걸려. 여기서 나간 직원이 오래도록 새 직장을 구하지 못하면 그것도 상처가 될 것 같아.,당신이 형편도 안 되면서 그 사람들을 끝까지 책임지려는 건 너무 과한 행동이야. 매출이 저조한 건 직원들도 다 알 텐데 그러면 그들도 불편할 거야. 무리해서 데리고 있는 게 그들에게도 꼭 좋은 건 아니라 생각하고 마음을 내려놓기 바라.,상처,0.7256587743759155
나도 그러고 싶은데 그게 맘대로 안 돼. 오랫동안 가족처럼 지냈는데 어떻게 모른 척 할 수 있겠어. 달면 삼키고 쓰면 뱉는 사람이 나라는 건 내게 너무 큰 상처가 될 것 같아.,손님이 없는데 눈치 보며 지내는 것보다 그들도 일을 열심히 하는 곳이 좋을 거야. 당신 마음 아픈 거야 나도 이해하지만 현실을 무시할 수는 없어. 올바른 판단을 내려서 당신 마음이 하루 빨리 편해지기를 바라.,상처,0.3961169719696045
아닌 게 아니라 요즘 직원들이 내 눈치를 보는 시간이 부쩍 는 것 같아. 매출이 저조해 직원들 월급 주기도 빠듯하다는 걸 그들이라고 모를까. 그들을 놓아주는 게 오히려 나을지도 모른다 생각하니 마음이 편안해진다.,당신이 이성적인 판단을 내리는 걸 보니 나도 마음이 놓인다. 무엇보다 매장을 살리는 게 우선이니 현명하게 대응하길 바라. 그러다 보면 다시 매출도 올라서 좋은 결과가 있을 거라 믿어.,상처,0.46218106150627136
안타깝긴 하지만 직원 수를 줄이려고 생각하니 오히려 마음은 편하다. 지출 가운데 가장 큰 부분이 바로 직원 월급이거든. 형편에 맞게 직원을 감축하는 걸 심각하게 생각해 봐야겠어.,물론 요즘 사춘기라고 하지만 딸아이의 반응이 상처가 되는 것 같아. 당신이 느끼는 감정을 나도 너무 이해해.,상처,0.2140655815601349
매출이 점점 줄어서 속이 까맣게 타들어 갔는데 당신 덕분에 한결 편해졌어. 늘 내 편에 서서 좋은 조언을 해줘서 정말 고마워 여보.,"당신이 얼마나 노력하는 아빠인데, 내가 옆에서 다 지켜보고 있어서 너무 잘 알아. 지금 당신이 느끼는 서운함도 너무 느껴져. 반응이 쌀쌀맞긴 하지만, 우리 딸도 정말 싫어서 그런 건 아닐 거야.",상처,0.38465163111686707
"여보, 나 우리 딸 때문에 너무 마음에 상처를 입었어. 내가 무슨 말을 꺼내도 그만 하자고 하는데, 딸이 이해가 되면서도 서운한 마음은 어쩔 수가 없네.","당신이 그동안 많이 힘들었구나, 마음의 상처가 깊었나 봐. 내가 미처 알아보지 못했던 것 같아서 미안한 마음이 크네. 너무 서운하게 생각하지 말고 마음에 많이 담아두지 않도록 하면 좋겠어.",상처,0.6152181625366211
"일부러 더 조심하고 다정하게 말을 건네도 소용이 없어. 친구 이야기를 물어봐도, 좋아하는 가수 이야기로 말을 걸어도 다 그만하자고 하네. 내 노력이 소용이 없는 것 같아서 마음이 아파.","당신은 누구보다 더 많은 노력하고 딸과 관계를 소중하게 생각하고 있잖아. 당신에게만 그러는 게 아니야, 아마도 지금은 우리 딸에게 시간을 주어야 할 시기인 것 같아. 조금 힘들겠지만 이 시기가 지나면 괜찮아 질 거야.",상처,0.26476195454597473
"사춘기라 그럴 수 있고, 속마음은 다를 거라고 아무리 생각해도 사실 쉽지가 않아. 날 선 반응을 맞닥뜨리면 아빠로서 자괴감이 들 정도야.","응, 맞아! 나도 딸아이의 날카로운 반응에 조금씩 서운한 마음이 누적되고 있어. 지금이 우리 딸에게 감정적으로 신체적으로 중요한 시기라 당신이 더 신경 쓰고 있다는 것도 알아. 그래도 상대가 받아들일 준비가 되어 있어야 하지 않을까?",상처,0.5960145592689514
"내가 노력이 부족한 게 아닐까? 어떤 말도 모두 그 애 앞에서 다 사라지는 것 같아. 딸과 친구처럼 지내고 싶은데, 내 욕심인 걸까?","그렇게 생각한다면 다행이야! 지금 충분히 많이 노력하고 있으니까, 우리 딸도 곧 우리의 마음을 알아줄 거야. 당신이 너무 많이 상처받지 않았으면 좋겠어.",상처,0.5102816820144653
아이가 커가는 과정으로 받아들여야 한다는 거지? 내 노력이 부족한 게 아니라?,"그래, 정말 잘 생각한 거야! 그리고 힘들면 언제라도 무엇이라도 나에게는 이야기 해도 괜찮아! 나는 당신 이해하니까, 내게 기대!",상처,0.6024258136749268
"그래, 당신 말이 맞는 것 같아. 그래도 여보랑 대화하니까 마음이 조금 풀어진다.",그러면 숙소 수수료도 물어야 할 텐데 갑자기 무슨 일인데 그래. 상황이 굉장히 번거롭게 됐네.,상처,0.3583095371723175
"다른 누구에게 말을 하기도 힘들 정도로 마음이 아팠는데, 역시 당신이랑 이야기하길 잘했어! 당신 말대로 너무 상처받지 않도록 할게.",모처럼 떠나는 휴가에 당신이 많이 기대했는데 일정이 갑자기 변경되니 속이 많이 상하겠어. 이번 계획도 온통 당신이 짰었잖아. 하고 싶었던 것들을 다 누리고 오지 못하니 얼마나 상처가 되겠어.,상처,0.4487476348876953
그럴게! 역시 우리 여보가 최고야!,계획이 수포로 돌아가는 일만큼 마음에 상처를 남기는 일도 없을 거야. 더구나 당신이 계획 틀어지는 걸 더더욱 감당하기 힘들어하다 보니 더 속상해하는 것 같아. 그래도 아예 휴가가 사라진 건 아니니까 상처받지 않았으면 좋겠어.,상처,0.24949146807193756
"여보, 우리 휴가 일정을 급작스럽게 바꿔야 할 것 같아. 돌아오는 날을 앞당겨야 해.",나는 어떤 일이든 미루기 바쁜데 항상 맡은 일에 책임감을 갖고 부지런히 끝내는 당신이 존경스러워. 분명 회사에서도 당신이 헌신하는 모습 알고 있을 거야. 그리고 노고를 치하하는 날이 올 테니 너무 상처받지 마.,상처,0.2132619172334671
