,0,1,SBert_유사도,sentiment
0,"여보, 우리 아이들이 어느새 이렇게 많이 컸네. 문득 사진들을 보다가 당신 생각이 나서 연락했어.",당신 무슨 일 있어? 안 그래도 요즘 기운이 좀 없어 보여서 물어보려고 했거든.,0.4388537108898163,슬픔
1,"그냥 뭐랄까, 아이들이 커 가는 게 당연히 기쁘고 뿌듯하지만 조금 쓸쓸하고 슬픈 느낌이 들기도 해.",그랬구나. 아이들이 태어나고 한동안 보살피느라 정신없이 지냈잖아. 당신 기분이 어떤지 살피지도 못했어. 당신 많이 슬펐었구나.,0.6281907558441162,슬픔
2,처음에는 내가 외로움을 많이 타서 그런 거라고 생각했어. 하지만 점점 무얼 위해 사는지 모르겠다는 생각이 들면서 문득 슬퍼지고 눈물이 나더라고.,나도 말은 하지 않았지만 그 기분 잘 알아. 당신이 우리 가족을 위해 많이 희생하고 있어서 너무 든든해. 그래서 더 그런 기분을 느끼는 거겠지?,0.4606577455997467,슬픔
3,무엇보다도 난 당신에게 사랑받고 있지 못하다는 기분이 들었어.,그건 정말 아니야. 누구보다도 내가 당신을 가장 많이 생각하는 사람인 걸 알잖아.,0.4522395133972168,슬픔
4,"맞아. 알면서도 그냥 문득 한 번씩 그런 기분이 들었어. 당신은 아이들을 챙기는 일도, 직장에서의 일도 너무나도 잘 해내고 있으니까.",맞아. 하지만 난 내가 해야하는 모든 일들이 당신과 나를 위해서 하는 노력이라고 생각해. 당신처럼 가정적이고 성실한 사람을 위해서 나도 열심히 살아야겠다는 생각을 하거든.,0.5704075694084167,슬픔
5,당신 말을 들으니까 내가 괜한 투정을 부리고 있었다는 생각이 들어. 맞아. 실은 직접적으로 표현하지 않아도 나는 사랑받고 있는 사람이었는데.,"그럼, 당연하지. 여보 힘든 거 잘 알아. 그리고 아이들도 나와 함께하는 시간이 많으니까 더 슬펐을 것 같아.",0.4344896078109741,슬픔
6,응. 하지만 이제 당신 이야기를 들으니까 괜찮아졌어. 고마워.,아니야. 앞으로도 우리 많은 시간을 같이 보낼 수 있도록 더 노력해보자.,0.30459779500961304,슬픔
7,여보 오늘은 오십견 치료를 병원에서 안 받고 한의원에서 침을 맞았어요. 오랫동안 치료를 받아도 효과가 없이 어깨가 계속 아프니 너무 슬프네요.,당신 정말 열심히 치료받았었잖아. 그동안 계속 병원에 다녔는데 너무 고생스럽고 힘들었겠네. 오늘 침을 맞아보니 좀 괜찮은 것 같아?,0.6130297183990479,슬픔
8,오늘 처음 침 치료를 했으니 아직은 잘 모르겠어요. 정형외과에서 계속 어깨 치료를 받아도 좀처럼 나아지지 않으니 너무 힘들어요. 언제까지 이렇게 계속 통증을 참아야 하는지 계속 너무 아파서 마음이 우울해요.,당신이 매일 어깨가 아파서 매일 고통스러워하는 모습을 보니 내 마음이 너무 아프다. 오늘은 한의원에서 침 맞을 때 얼마나 아팠을까. 하루라도 빨리 좋아져야 할 텐데 당신이 힘들어질까 봐 너무 걱정이다.,0.797808051109314,슬픔
9,어깨를 움직이기가 너무 힘들어서 아무것도 할 수 없으니 마음까지 우울해져요. 게다가 좋아하는 운동도 할 수 없고 집안일도 못하니 나 자신이 너무 초라해지는 것 같아요.,신체 어느 곳이건 아프고 불편해도 힘든데 하필이면 항상 쓰는 어깨가 아프니 얼마나 더 고통스럽겠어. 하지만 당신이 치료하려는 의지도 강하고 또 침 치료가 분명 효과가 있을 거야. 잘 치료받으면 곧 괜찮아질 테니 너무 걱정하지 마. 당신은 우리 가족에게 정말 소중한 존재야.,0.5149995684623718,슬픔
10,어깨가 아프고 보니 내가 이제 정말 나이를 먹어가고 있구나 생각이 들어요. 몸 여기저기가 하나씩 아프다고 신호를 보내는 것 같아요.,당신이 그동안 일하면서 살림도 하느라 얼마나 몸이 힘들겠어. 가족들을 위해 애쓰며 살았는데 이젠 누구보다 당신 몸을 생각해서 살아야지. 아픈데도 자꾸 무엇인가를 하려고 하니 더 우울한 걸 거야.,0.5539974570274353,슬픔
11,어젯밤도 자다가 통증 때문에 자꾸 깨서 너무 괴롭더라고요. 낮에는 어떻게 견디겠는데 밤에 아파서 자꾸 깨다 보니 더 속상해요.,당신이 아파서 잠을 못 자니 얼마나 지치고 힘들까? 잠이라도 잘 자면 지금처럼 우울하고 속상한 마음은 좀 나아질 텐데. 치료받느라 힘들겠지만 햇볕도 따스하니 가볍게 동네를 산책하며 마음의 우울감을 좀 떨쳐버리고 오는 건 어떨까?,0.6350328922271729,슬픔
12,그러고 보니 밤에 못 자서 자꾸 처지고 누워만 있고 싶어서 더 우울해지는 것 같아요. 날씨가 너무 좋은데 나만 아픈 것 같아서 속상했거든요. 당신 말대로 집 앞 공원에 나가서 따뜻한 햇살 맞으며 산책이라도 해야겠어요.,너무 잘 생각했어. 당신이 지금까지 가족들을 위해서 얼마나 애쓰면서 살아왔어. 그러니 이제 아프다고 신호하면 쉬어주고 마음이 우울하면 따뜻하게 내가 곁에서 항상 위로해 줄게.,0.5235990285873413,슬픔
13,당신이 그렇게 말해주니 내가 더 나 자신을 아끼고 사랑해 줘야겠어요. 아픈 것만 신경 쓰다 보니 자꾸 슬퍼하기만 했네요.,평생을 써온 어깨가 아픈데 어떻게 금방 나아지겠어. 오늘처럼 한의원에서 침도 맞고 아파도 좋아질 거라는 기대를 가지고 산다면 우울한 마음은 사라질 거야. 당신은 분명 잘 치료받고 극복할 수 있을 거라 믿어.,0.5886327028274536,슬픔
14,고마워요 여보. 당신이 항상 응원해 주고 위로해 주니 마음이 한결 따뜻해졌어요.,"무슨 일이야 여보, 어쩐지 어제 얼굴이 안 좋더니.",0.22623394429683685,슬픔
15,"여보, 나 어제 너무 마음이 아픈 소식을 들어서 하루 종일 슬펐어.","저런, 자기가 매번 이야기했던 그 은행나무 말이지? 나도 마음이 너무 아프다. 우리 자기가 평소 소중하게 여기던 추억이었는데, 진짜 슬프겠어.",0.694825291633606,슬픔
16,"형한테 전화가 왔는데, 고향에 있는 나무를 구청에서 베어버렸다는 소식을 들어서 마음이 무너지는 것 같았어. 그 나무, 내가 어렸을 때부터 우리 마을에 있던 보호수잖아. 내 추억이 통째로 사라지는 기분이야.","그러게, 자기의 삶의 일부를 잃어버리는 기분, 나도 얼마나 슬플지 이해해. 자기 마음이 참 쓸쓸하겠지만, 너무 속상해하지 않았으면 좋겠어. 그래도 나무 덕분에 어린 시절을 행복하고 즐겁게 보낼 수 있었잖아.",0.6726549863815308,슬픔
17,"어제 소식을 듣고 눈물이 멈추지 않더라. 부모님이 일하러 가고 심심할 때마다 그 나무 밑에 가서 놀았거든. 나에게는 가족만큼 소중한 존재인데, 나의 일부분을 상실한 기분이라 슬퍼.","자기가 얼마나 황량한 마음일지 알아, 나도 그 이야기를 들으니 마음 한구석이 허전하다. 하지만 그 나무와의 추억은 자기의 마음속에 영원히 살아있잖아, 그 즐거웠던 감정들을 떠올려봐. 그럼 그 추억도 소중하고 아름답게 자기에게 기억되지 않을까?",0.5050302743911743,슬픔
18,"그 나무는 나의 유일한 친구였거든, 내 외로움과 쓸쓸함을 달래주는 존재였어. 나무가 사라지니, 나의 어린 시절의 추억이 통째로 날아가는 것 같아. 나무를 다시 보고 싶어.","맞아, 때때로 내가 사라지는 존재들이 소멸할 때 견딜 수 없이 슬프곤 하지. 하지만 그 추억과 시간들은 영원히 자기와 함께할 거야. 너무 슬퍼하지 않고 편안한 마음을 가졌으면 좋겠어.",0.4556904137134552,슬픔
19,"그러게, 나무가 사라진다고 내 추억까지 없어지는 건 아니지. 너무 슬픈 소식을 듣다 보니 내가 너무 극단적으로 생각했나봐. 자기의 말을 들으니 내 소중하고 좋았던 감정들을 떠올리려고 노력해야겠다는 생각이 들어.","위로가 되었다니 정말 다행이다. 나도 너무 슬프지만, 자기가 행복했으면 좋겠어. 지금은 힘들어도 시간이 조금 지나면 괜찮아질 거야.",0.5530418157577515,슬픔
20,"진심으로 위로해줘서 고마워. 나무가 있어서 내 힘든 시절을 이겨낼 수 있었듯이, 지금은 자기가 있잖아. 자기가 나에게는 나무 같은 존재야, 자기가 있어서 내 마음이 편안해.","그래, 오늘 하루도 행복하고 평화로운 하루가 되길 바라.",0.4430215656757355,슬픔
21,"그래, 나무와의 즐거웠던 시간을 다시 떠올려봐야지. 사진들이 남아있으니 집에 가서 함께 보자.",슬플 때는 꼭 나쁜 일이 연달아 일어나는 것처럼 느껴져서 더 우울해지잖아요. 그렇지만 그런 시기가 지나도 자연스레 지나가고 좋은 날이 올 거예요.,0.3628712296485901,슬픔
22,부인 며칠 전 집 주차장이 꽉 차서 근처 어린이집에 주차를 했어요. 잠깐만 두는 거라 괜찮을 거라 생각하고 차를 뺐는데 오늘 주차위반 벌금 부과를 받았어요. 요즘 계속 일도 잘 안 풀리는데 벌금까지 받으니 너무 슬프네요.,저도 슬플 때는 좋지 않은 일만 일어나는 것처럼 느껴지는 순간이 있었어요. 그렇지만 돌이켜보면 좋았던 일이나 평범한 순간도 있었는데 나쁜 일만 일어난다고 생각하고 있더라고요. 남편도 시간이 흐르고 나면 잊었던 좋은 일도 기억날 거예요.,0.3642329275608063,슬픔
23,그렇지만 요즘 회사에서도 실수가 잦다고 상사로부터 경고를 받았어요. 그래서 슬픈 상태로 퇴근을 하는데 실수로 차를 주차장 기둥에 긁어버렸고요. 오늘따라 일이 꼬인다고 생각하며 집에 왔는데 주차장도 꽉 차고 벌금까지 물어 슬펐어요.,그렇지만 승진하고 새로운 업무를 받은 지 몇 주 밖에 되지 않았잖아요. 잘 하려고 노력하지 않았다면 실수도 경험하지 못 했을 거예요. 개선의 기회로 삼으면 분명 원하는 방향으로 나아갈 수 있을 거예요.,0.5551214218139648,슬픔
24,하지만 좋은 기억이 잘 떠오르지 않아요. 주차도 그렇고 일도 그렇고 슬프게도 노력하려는 일이 다 꼬이기만 하는 것 같아요. 앞으로도 딱히 좋은 일이 일어날 거란 기대가 생기지 않고 우울해져요.,나침반이 흔들리는 이유는 방향을 찾아가기 위한 것이듯 남편의 흔들림은 제대로 나아가기 위한 노력이에요. 그리고 돌아간다는 건 그만큼 시간을 들여 성장한다는 뜻이에요. 주의력이 좀 부족해도 다양한 면을 본다는 것도 대단한 능력이에요.,0.5384145975112915,슬픔
25,계속 실패를 경험하니 잘 해볼 기운도 나지 않아요. 예전부터 항상 핵심을 못 잡고 돌아가다가 문제를 만들곤 하죠. 슬프지만 이번에 주차위반 벌금을 부과 받게 된 것도 제가 주의력이 부족한 탓이에요.,부족한 점을 본다는 건 더 잘 하고 싶다는 열정이 있기 때문이라 생각해요. 본래 힘들 때는 사람을 보며 배우고 해결책을 찾기도 하죠. 상대의 장점을 잘 파악하기에 부러움을 느낀다고 생각하면 남편의 성격이 장점이라고 생각할 수 있을 거예요.,0.37195611000061035,슬픔
